63
0.072472 0.154966
0.068605 0.151457
0.052205 0.184192
0.055729 0.172559
0.058412 0.160857
0.061305 0.157431
0.071643 0.189825
0.049649 0.151354
0.055139 0.154774
0.048584 0.155294
0.066570 0.162905
0.066348 0.202831
0.050753 0.151481
0.052652 0.150720
0.053300 0.144626
0.058950 0.148231
0.054661 0.151236
0.067928 0.163377
0.060309 0.239270
0.049996 0.149292
0.047584 0.139925
0.060950 0.142516
0.049454 0.137273
0.052438 0.141365
0.053660 0.146355
0.063612 0.175228
0.040180 0.160702
0.044665 0.145576
0.049765 0.134047
0.053451 0.130025
0.050617 0.138013
0.051366 0.130449
0.058012 0.140255
0.051674 0.151136
0.058502 0.171886
0.046706 0.144826
0.044623 0.130389
0.044069 0.123883
0.043444 0.125271
0.047719 0.134070
0.044195 0.136418
0.059190 0.146505
0.054077 0.152695
0.058765 0.192771
0.046944 0.136215
0.042541 0.123446
0.047955 0.126146
0.048232 0.127173
0.053323 0.128033
0.047089 0.137995
0.053728 0.154981
0.041953 0.128355
0.041400 0.123795
0.045765 0.120282
0.046136 0.125489
0.048981 0.131508
0.044539 0.121736
0.047935 0.114970
0.044735 0.115082
0.041169 0.128231
0.041422 0.122712
0.047348 0.135299
0.029613 0.145862
1 1 1.000000
1 2 0.539497
1 3 0.496164
1 4 0.492712
1 5 0.532662
1 6 0.550851
1 7 0.520969
1 8 0.502040
1 9 0.518013
1 10 0.510410
1 11 0.522385
1 12 0.508610
1 13 0.473264
1 14 0.529705
1 15 0.517949
1 16 0.490912
1 17 0.531817
1 18 0.535589
1 19 0.430615
1 20 0.496760
1 21 0.488521
1 22 0.526105
1 23 0.529241
1 24 0.513573
1 25 0.512555
1 26 0.501304
1 27 0.435263
1 28 0.477947
1 29 0.497512
1 30 0.520899
1 31 0.493129
1 32 0.529188
1 33 0.516927
1 34 0.514252
1 35 0.477289
1 36 0.468558
1 37 0.502628
1 38 0.504639
1 39 0.520069
1 40 0.501872
1 41 0.512027
1 42 0.473515
1 43 0.493564
1 44 0.447849
1 45 0.457201
1 46 0.487502
1 47 0.485844
1 48 0.509873
1 49 0.490616
1 50 0.483944
1 51 0.466725
1 52 0.461829
1 53 0.487180
1 54 0.494099
1 55 0.476459
1 56 0.451784
1 57 0.429397
1 58 0.442326
1 59 0.440258
1 60 0.437543
1 61 0.433036
1 62 0.427824
1 63 0.423418
2 2 1.000000
2 3 0.525923
2 4 0.548984
2 5 0.571303
2 6 0.596170
2 7 0.607053
2 8 0.541749
2 9 0.580900
2 10 0.564681
2 11 0.568111
2 12 0.581223
2 13 0.525915
2 14 0.564270
2 15 0.562858
2 16 0.545747
2 17 0.583704
2 18 0.576567
2 19 0.489462
2 20 0.525270
2 21 0.541273
2 22 0.572165
2 23 0.565365
2 24 0.558644
2 25 0.553244
2 26 0.548471
2 27 0.475805
2 28 0.524812
2 29 0.527610
2 30 0.554105
2 31 0.539617
2 32 0.566053
2 33 0.541243
2 34 0.550080
2 35 0.529905
2 36 0.502539
2 37 0.534278
2 38 0.538760
2 39 0.577825
2 40 0.550889
2 41 0.551552
2 42 0.537112
2 43 0.539758
2 44 0.480098
2 45 0.484671
2 46 0.534316
2 47 0.532693
2 48 0.542704
2 49 0.527353
2 50 0.523820
2 51 0.513940
2 52 0.491766
2 53 0.527402
2 54 0.525985
2 55 0.515899
2 56 0.503561
2 57 0.455362
2 58 0.472311
2 59 0.466724
2 60 0.463659
2 61 0.469633
2 62 0.448653
2 63 0.471844
3 3 1.000000
