40
0.043493 0.151588
0.041857 0.092926
0.052428 0.143935
0.051515 0.120809
0.044931 0.214487
0.053995 0.180710
0.043518 0.156370
0.040596 0.115791
0.039591 0.119458
0.053870 0.157908
0.048589 0.113837
0.045929 0.129035
0.038604 0.140837
0.044301 0.128854
0.050989 0.199933
0.041811 0.171243
0.047399 0.139340
0.051763 0.158014
0.053393 0.167931
0.060505 0.178761
0.043881 0.152105
0.046652 0.156744
0.048139 0.219650
0.046502 0.135087
0.039010 0.110157
0.037991 0.103779
0.050947 0.193069
0.055523 0.153374
0.055883 0.175820
0.051517 0.141281
0.047090 0.126350
0.040342 0.135874
0.040519 0.163650
0.047006 0.114976
0.048110 0.133502
0.050973 0.148317
0.045582 0.136992
0.039312 0.208673
0.048507 0.157340
0.033265 0.147267
1 1 1.000000
1 2 0.481689
1 3 0.386014
1 4 0.341517
1 5 0.313879
1 6 0.415693
1 7 0.356202
1 8 0.433203
1 9 0.393527
1 10 0.333805
1 11 0.444835
1 12 0.536911
1 13 0.415611
1 14 0.522994
1 15 0.411777
1 16 0.491413
1 17 0.530630
1 18 0.494046
1 19 0.445600
1 20 0.432328
1 21 0.431928
1 22 0.420094
1 23 0.372968
1 24 0.452774
1 25 0.443718
1 26 0.428696
1 27 0.256259
1 28 0.403522
1 29 0.389324
1 30 0.431828
1 31 0.467817
1 32 0.507665
1 33 0.350171
1 34 0.469391
1 35 0.402933
1 36 0.436361
1 37 0.420417
1 38 0.346985
1 39 0.472715
1 40 0.366557
2 2 1.000000
2 3 0.675343
2 4 0.576158
2 5 0.425327
2 6 0.591912
2 7 0.494141
2 8 0.730498
2 9 0.557362
2 10 0.485781
2 11 0.692852
2 12 0.724581
2 13 0.554193
2 14 0.717989
2 15 0.534292
2 16 0.604095
2 17 0.691857
2 18 0.687907
2 19 0.622231
2 20 0.615362
2 21 0.576405
2 22 0.491880
2 23 0.430502
2 24 0.606156
2 25 0.697128
2 26 0.633936
2 27 0.360857
2 28 0.559947
2 29 0.530016
2 30 0.583216
2 31 0.675146
2 32 0.684098
2 33 0.498984
2 34 0.729020
2 35 0.602383
2 36 0.603612
2 37 0.619665
2 38 0.428384
2 39 0.653597
2 40 0.545520
3 3 1.000000
3 4 0.439959
3 5 0.368572
3 6 0.518223
3 7 0.401141
3 8 0.606606
3 9 0.421307
3 10 0.392869
3 11 0.558261
3 12 0.601405
3 13 0.451957
3 14 0.601424
3 15 0.457133
3 16 0.504673
3 17 0.582525
3 18 0.583863
3 19 0.529878
3 20 0.533865
3 21 0.484441
3 22 0.378405
3 23 0.353161
3 24 0.499194
3 25 0.596074
3 26 0.505603
3 27 0.284767
3 28 0.464161
3 29 0.445455
3 30 0.470478
3 31 0.545813
3 32 0.581283
3 33 0.412707
3 34 0.606456
3 35 0.496872
3 36 0.486451
3 37 0.485991
3 38 0.367648
3 39 0.540173
3 40 0.460594
4 4 1.000000
4 5 0.303479
