32
0.205144 0.772060
0.286244 0.657628
0.127536 0.668900
0.236507 0.762359
0.459330 0.674189
0.418014 0.628036
0.421268 0.603876
0.468541 0.677196
0.511770 0.664889
0.570455 0.630412
0.543995 0.621566
0.562512 0.652893
0.767416 0.732101
0.593134 0.640025
0.683971 0.639228
0.812464 0.698528
0.246651 0.678133
0.152201 0.632006
0.139569 0.623827
0.210335 0.652599
0.307464 0.601740
0.335718 0.551422
0.323301 0.546154
0.356699 0.596741
0.350670 0.578861
0.507201 0.545149
0.502225 0.542696
0.457057 0.613131
0.614665 0.654996
0.550072 0.598592
0.520191 0.621479
0.674378 0.642816
1 1 1.000000
1 2 0.924821
1 3 0.919106
1 4 0.889729
1 5 0.933040
1 6 0.920910
1 7 0.906742
1 8 0.903808
1 9 0.919921
1 10 0.903881
1 11 0.900722
1 12 0.900254
1 13 0.888580
1 14 0.889099
1 15 0.874571
1 16 0.855488
1 17 0.780554
1 18 0.763815
1 19 0.684475
1 20 0.699362
1 21 0.803825
1 22 0.778180
1 23 0.732533
1 24 0.647983
1 25 0.804327
1 26 0.785849
1 27 0.766496
1 28 0.721154
1 29 0.799744
1 30 0.783004
1 31 0.755755
1 32 0.741353
2 2 1.000000
2 3 0.932865
2 4 0.901695
2 5 0.921074
2 6 0.921110
2 7 0.909653
2 8 0.904098
2 9 0.905795
2 10 0.906949
2 11 0.897769
2 12 0.891033
2 13 0.868950
2 14 0.882631
2 15 0.867776
2 16 0.855577
2 17 0.792616
2 18 0.773612
2 19 0.708544
2 20 0.729532
2 21 0.810547
2 22 0.785694
2 23 0.739700
2 24 0.652500
2 25 0.806176
2 26 0.797735
2 27 0.760062
2 28 0.699288
2 29 0.786805
2 30 0.783059
2 31 0.742182
2 32 0.739729
3 3 1.000000
3 4 0.923776
3 5 0.921958
3 6 0.937621
3 7 0.939272
3 8 0.936898
3 9 0.906893
3 10 0.907767
3 11 0.912990
3 12 0.912995
3 13 0.856503
3 14 0.874903
3 15 0.874754
3 16 0.855305
3 17 0.782423
3 18 0.786565
3 19 0.749366
3 20 0.776259
3 21 0.814019
3 22 0.802491
3 23 0.758973
3 24 0.695276
3 25 0.792346
3 26 0.799554
3 27 0.782879
3 28 0.725420
3 29 0.780445
3 30 0.770147
3 31 0.747201
3 32 0.728382
4 4 1.000000
4 5 0.874012
4 6 0.879859
4 7 0.887160
4 8 0.920609
4 9 0.854808
4 10 0.850622
4 11 0.859273
4 12 0.880603
4 13 0.820602
4 14 0.828909
4 15 0.828548
4 16 0.833948
4 17 0.753825
4 18 0.754254
4 19 0.734299
4 20 0.793402
4 21 0.765671
4 22 0.775731
4 23 0.756045
4 24 0.697893
4 25 0.752328
4 26 0.747218
4 27 0.758453
4 28 0.724767
4 29 0.746112
4 30 0.744652
4 31 0.719945
4 32 0.733211
5 5 1.000000
5 6 0.945720
5 7 0.945364
5 8 0.916578
5 9 0.954669
5 10 0.946233
5 11 0.941346
5 12 0.931464
5 13 0.928862
5 14 0.926467
5 15 0.917613
5 16 0.893091
5 17 0.783835
5 18 0.778305
5 19 0.705168
5 20 0.715066
5 21 0.808785
