25
0.056790 0.128002
0.053710 0.113405
0.051335 0.114513
0.048733 0.116577
0.022366 0.131269
0.047825 0.134801
0.051408 0.122021
0.046521 0.122595
0.048137 0.129353
0.023096 0.147711
0.048996 0.123099
0.047426 0.113015
0.048439 0.115126
0.045062 0.124756
0.031423 0.154970
0.049637 0.116706
0.051853 0.107191
0.048993 0.109006
0.048190 0.118992
0.037553 0.152007
0.047472 0.110451
0.041794 0.106012
0.044849 0.110788
0.044192 0.126060
0.043872 0.144414
1 1 1.000000
1 2 0.943707
1 3 0.940433
1 4 0.945561
1 5 0.940203
1 6 0.940947
1 7 0.902973
1 8 0.904302
1 9 0.919032
1 10 0.900173
1 11 0.901222
1 12 0.885184
1 13 0.885496
1 14 0.885495
1 15 0.844557
1 16 0.869977
1 17 0.842776
1 18 0.848802
1 19 0.849375
1 20 0.801264
1 21 0.767008
1 22 0.746326
1 23 0.739924
1 24 0.741721
1 25 0.710268
2 2 1.000000
2 3 0.963687
2 4 0.959631
2 5 0.905872
2 6 0.935103
2 7 0.933764
2 8 0.935695
2 9 0.930802
2 10 0.868649
2 11 0.899661
2 12 0.909134
2 13 0.906972
2 14 0.888510
2 15 0.803708
2 16 0.870093
2 17 0.864999
2 18 0.864726
2 19 0.847513
2 20 0.759535
2 21 0.765065
2 22 0.767991
2 23 0.757631
2 24 0.741809
2 25 0.685346
3 3 1.000000
3 4 0.963103
3 5 0.910459
3 6 0.931120
3 7 0.931658
3 8 0.938219
3 9 0.934244
3 10 0.877848
3 11 0.897462
3 12 0.905464
3 13 0.908356
3 14 0.893725
3 15 0.813743
3 16 0.863602
3 17 0.862038
3 18 0.863405
3 19 0.848942
3 20 0.766136
3 21 0.766491
3 22 0.768103
3 23 0.758553
3 24 0.746636
3 25 0.691130
4 4 1.000000
4 5 0.932427
4 6 0.937078
4 7 0.931724
4 8 0.937569
4 9 0.942171
4 10 0.902341
4 11 0.907603
4 12 0.912373
4 13 0.915581
4 14 0.908311
4 15 0.840517
4 16 0.873325
4 17 0.870869
4 18 0.876898
4 19 0.865896
4 20 0.796148
4 21 0.777291
4 22 0.775955
4 23 0.772786
4 24 0.766367
4 25 0.717290
5 5 1.000000
5 6 0.906501
5 7 0.873305
5 8 0.881895
5 9 0.915186
5 10 0.941512
5 11 0.876821
5 12 0.864795
5 13 0.876506
5 14 0.895879
5 15 0.894065
5 16 0.840327
5 17 0.826563
5 18 0.851524
5 19 0.866421
5 20 0.853157
5 21 0.755936
5 22 0.746300
5 23 0.752740
5 24 0.771005
5 25 0.765857
6 6 1.000000
6 7 0.945270
6 8 0.950030
6 9 0.953359
6 10 0.912243
6 11 0.947064
6 12 0.934990
6 13 0.933670
6 14 0.926825
6 15 0.868123
6 16 0.919258
6 17 0.899037
6 18 0.902218
6 19 0.898539
6 20 0.834676
6 21 0.819400
6 22 0.804758
6 23 0.800767
6 24 0.797693
6 25 0.751801
7 7 1.000000
7 8 0.954102
7 9 0.943170
7 10 0.875621
7 11 0.923748
7 12 0.932269
7 13 0.933801
7 14 0.912968
7 15 0.821100
7 16 0.897105
7 17 0.897078
7 18 0.895128
7 19 0.878594
7 20 0.785847
7 21 0.804385
7 22 0.807433
7 23 0.798156
7 24 0.783342
7 25 0.720717
8 8 1.000000
8 9 0.957311
8 10 0.891530
8 11 0.928071
8 12 0.938315
8 13 0.946012
8 14 0.926605
8 15 0.841171
8 16 0.900694
8 17 0.901453
8 18 0.904347
8 19 0.893623
8 20 0.802650
8 21 0.809483
8 22 0.810293
8 23 0.807530
8 24 0.792624
8 25 0.736287
9 9 1.000000
9 10 0.931460
9 11 0.932892
9 12 0.932540
9 13 0.946310
9 14 0.950109
9 15 0.894296
9 16 0.902823
9 17 0.898309
9 18 0.916631
9 19 0.918291
9 20 0.861125
9 21 0.811854
9 22 0.810822
9 23 0.817528
9 24 0.820357
9 25 0.782740
10 10 1.000000
10 11 0.888720
10 12 0.871318
10 13 0.891215
10 14 0.927369
10 15 0.951143
10 16 0.853383
10 17 0.834677
10 18 0.871917
10 19 0.901204
10 20 0.918571
10 21 0.777744
10 22 0.763890
10 23 0.786689
10 24 0.827936
10 25 0.835502
11 11 1.000000
11 12 0.947077
11 13 0.943147
11 14 0.934014
11 15 0.857864
11 16 0.942926
11 17 0.929458
11 18 0.928264
11 19 0.915548
11 20 0.836979
11 21 0.850519
11 22 0.846069
11 23 0.837235
11 24 0.823027
11 25 0.770146
12 12 1.000000
12 13 0.952626
12 14 0.929743
12 15 0.832095
12 16 0.933812
12 17 0.938968
12 18 0.930771
12 19 0.910334
12 20 0.808535
12 21 0.846487
12 22 0.850693
12 23 0.841493
12 24 0.816478
12 25 0.747333
13 13 1.000000
13 14 0.947602
13 15 0.860689
13 16 0.927776
13 17 0.935657
13 18 0.941019
13 19 0.929532
13 20 0.837054
13 21 0.848578
13 22 0.856148
13 23 0.853020
13 24 0.829781
13 25 0.775501
14 14 1.000000
14 15 0.912169
14 16 0.910024
14 17 0.909326
14 18 0.934203
14 19 0.942071
14 20 0.888904
14 21 0.828512
14 22 0.836560
14 23 0.844673
14 24 0.852483
14 25 0.821127
15 15 1.000000
15 16 0.833085
15 17 0.811310
15 18 0.860890
15 19 0.902256
15 20 0.949101
15 21 0.770279
15 22 0.752831
15 23 0.785885
15 24 0.839796
15 25 0.863859
16 16 1.000000
16 17 0.949162
16 18 0.937167
16 19 0.922198
16 20 0.832028
16 21 0.890597
16 22 0.878940
16 23 0.871882
16 24 0.839054
16 25 0.776063
17 17 1.000000
17 18 0.947941
17 19 0.923441
17 20 0.810677
17 21 0.890590
17 22 0.895872
17 23 0.887702
17 24 0.838380
17 25 0.763967
18 18 1.000000
18 19 0.946290
18 20 0.859636
18 21 0.878072
18 22 0.890758
18 23 0.894120
18 24 0.866903
18 25 0.810867
19 19 1.000000
19 20 0.908097
19 21 0.868645
19 22 0.867467
19 23 0.879508
19 24 0.878839
19 25 0.848239
20 20 1.000000
20 21 0.787321
20 22 0.760900
20 23 0.804991
20 24 0.856234
20 25 0.891425
21 21 1.000000
21 22 0.909052
21 23 0.904205
21 24 0.865772
21 25 0.795586
22 22 1.000000
22 23 0.924401
22 24 0.864363
22 25 0.780846
23 23 1.000000
23 24 0.908390
23 25 0.831439
24 24 1.000000
24 25 0.896498
25 25 1.000000
